tester,environment,pedigree,pheno,predicted.value,S2.weight
PHZ51,DEH1_2021,W10004_0006/PHZ51,PH,232.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0007/PHZ51,PH,252.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0008/PHZ51,PH,254.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0010/PHZ51,PH,272.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0013/PHZ51,PH,236.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0014/PHZ51,PH,243.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0018/PHZ51,PH,237.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0026/PHZ51,PH,237.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0027/PHZ51,PH,239.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0031/PHZ51,PH,265.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0032/PHZ51,PH,225.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0034/PHZ51,PH,254.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0035/PHZ51,PH,269.978182921253,0.388091442432746
PHZ51,DEH1_2021,W10004_0038/PHZ51,PH,244.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0039/PHZ51,PH,237.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0041/PHZ51,PH,244.478182921253,0.388091442432746
PHZ51,DEH1_2021,W10004_0042/PHZ51,PH,250.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0045/PHZ51,PH,273.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0046/PHZ51,PH,272.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0053/PHZ51,PH,243.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0055/PHZ51,PH,230.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0061/PHZ51,PH,251.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0062/PHZ51,PH,226.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0063/PHZ51,PH,267.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0064/PHZ51,PH,274.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0065/PHZ51,PH,238.978182921253,0.388091442432746
PHZ51,DEH1_2021,W10004_0068/PHZ51,PH,265.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0069/PHZ51,PH,237.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0070/PHZ51,PH,212.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0071/PHZ51,PH,252.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0072/PHZ51,PH,266.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0073/PHZ51,PH,253.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0076/PHZ51,PH,239.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0078/PHZ51,PH,271.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0079/PHZ51,PH,252.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0080/PHZ51,PH,261.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0086/PHZ51,PH,253.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0087/PHZ51,PH,236.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0092/PHZ51,PH,265.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0093/PHZ51,PH,254.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0097/PHZ51,PH,223.978182921253,0.388091442432746
PHZ51,DEH1_2021,W10004_0098/PHZ51,PH,245.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0099/PHZ51,PH,247.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0101/PHZ51,PH,226.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0103/PHZ51,PH,247.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0106/PHZ51,PH,254.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0110/PHZ51,PH,253.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0112/PHZ51,PH,253.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0116/PHZ51,PH,245.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0118/PHZ51,PH,259.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0119/PHZ51,PH,255.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0121/PHZ51,PH,265.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0122/PHZ51,PH,266.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0127/PHZ51,PH,259.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0129/PHZ51,PH,251.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0133/PHZ51,PH,258.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0134/PHZ51,PH,241.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0138/PHZ51,PH,263.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0144/PHZ51,PH,232.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0146/PHZ51,PH,243.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0147/PHZ51,PH,231.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0149/PHZ51,PH,256.478182921254,0.388091442432746
PHZ51,DEH1_2021,W10004_0152/PHZ51,PH,251.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0154/PHZ51,PH,247.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0160/PHZ51,PH,240.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0161/PHZ51,PH,230.978182921253,0.388091442432746
PHZ51,DEH1_2021,W10004_0166/PHZ51,PH,266.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0167/PHZ51,PH,254.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0169/PHZ51,PH,238.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0171/PHZ51,PH,260.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0178/PHZ51,PH,223.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0179/PHZ51,PH,239.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0185/PHZ51,PH,254.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0189/PHZ51,PH,242.978182921253,0.388091442432746
PHZ51,DEH1_2021,W10004_0190/PHZ51,PH,269.083480462837,0.325800817364592
PHZ51,DEH1_2021,W10004_0192/PHZ51,PH,262.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0194/PHZ51,PH,251.083480462837,0.325800817364593
PHZ51,DEH1_2021,W10004_0196/PHZ51,PH,247.478182921253,0.388091442432746
PHZ51,DEH1_2021,W10004_0197/PHZ51,PH,291.87288537967,0.325785380233846
PHZ51,DEH1_2021,W10004_0199/PHZ51,PH,270.87288537967,0.325785380233846
PHZ51,DEH1_2021,W10004_0200/PHZ51,PH,255.083480462837,0.325800817364592
PHZ51,DEH1_2021,W10004_0203/PHZ51,PH,262.87288537967,0.325785380233846
PHZ51,DEH1_2021,W10004_0206/PHZ51,PH,252.87288537967,0.325785380233847
PHZ51,DEH1_2021,W10004_0213/PHZ51,PH,235.083480462837,0.325800817364592
PHZ51,DEH1_2021,W10004_0217/PHZ51,PH,250.083480462837,0.325800817364592
PHZ51,DEH1_2021,W10004_0220/PHZ51,PH,251.87288537967,0.325785380233846
PHZ51,DEH1_2021,W10004_0221/PHZ51,PH,274.978182921254,0.388091442432746
PHZ51,DEH1_2021,W10004_0223/PHZ51,PH,246.478182921253,0.388091442432746
PHZ51,DEH1_2021,W10004_0224/PHZ51,PH,262.083480462837,0.325800817364592
PHZ51,DEH1_2021,W10004_0225/PHZ51,PH,243.083480462837,0.325800817364592
PHZ51,DEH1_2021,W10004_0227/PHZ51,PH,244.083480462837,0.325800817364592
